      palabra    Score Ideologia_dominante  Derecha  Derecha moderada  Izquierda  Izquierda moderada
        irene 0.010452           Izquierda    183.0              96.0      621.0                91.0
    empezamos 0.010445           Izquierda    272.0             296.0      790.0               267.0
          ser 0.010363             Derecha   7809.0            6330.0     7327.0              5721.0
      público 0.010344           Izquierda   1730.0            1109.0     1941.0              1017.0
    españoles 0.010331    Derecha moderada   3046.0            3326.0     1311.0              1413.0
       madrid 0.010242  Izquierda moderada   1953.0            3395.0     3765.0              3851.0
       buenos 0.010195           Izquierda    956.0            1526.0     1867.0              1744.0
         dice 0.010193             Derecha   3753.0            3239.0     3059.0              2770.0
     programa 0.010169           Izquierda    986.0            1056.0     1721.0               899.0
     machista 0.010128           Izquierda     66.0              51.0      503.0               155.0
 trabajadoras 0.010116           Izquierda     75.0              79.0      517.0               222.0
       diario 0.009869           Izquierda    564.0             351.0     1078.0               437.0
     análisis 0.009856           Izquierda    298.0             316.0      790.0               176.0
    feminismo 0.009823           Izquierda    221.0             123.0      908.0               241.0
         caso 0.009804             Derecha   3837.0            3190.0     3664.0              2216.0
           eh 0.009736    Derecha moderada  11260.0           15266.0    13702.0             11069.0
    wolverine 0.009698             Derecha    156.0               0.0        0.0                 0.0
       además 0.009671    Derecha moderada   3338.0            4413.0     4389.0              3165.0
    migrantes 0.009659           Izquierda     39.0              76.0      549.0               108.0
   democracia 0.009646           Izquierda    829.0             951.0     1713.0              1172.0
      pública 0.009611           Izquierda   1621.0             873.0     1716.0               944.0
       dentro 0.009556             Derecha   2568.0            1362.0     1526.0              1122.0
    mediática 0.009495           Izquierda    105.0              38.0      353.0                35.0
 ultraderecha 0.009468           Izquierda    290.0             132.0      715.0               444.0
        ahora 0.009382             Derecha   7501.0            6185.0     6695.0              6129.0
        lucha 0.009324           Izquierda    319.0             302.0      970.0               616.0
        lgtbi 0.009321           Izquierda     31.0               0.0      311.0                49.0
    climática 0.009303           Izquierda     42.0              20.0      368.0                79.0
        mismo 0.009232             Derecha   4369.0            3331.0     3613.0              2611.0
          oye 0.009196             Derecha   1516.0             826.0      484.0               435.0
  inmigración 0.009093             Derecha   1098.0             329.0      245.0               253.0
    comunidad 0.009084           Izquierda   1010.0            1337.0     2123.0              1590.0
    machistas 0.009005           Izquierda     21.0               0.0      283.0                47.0
       ilegal 0.008985             Derecha    765.0             279.0      293.0                92.0
        sumar 0.008978           Izquierda    413.0             390.0     1504.0               461.0
       quería 0.008933           Izquierda    688.0             734.0     1465.0               734.0
      precios 0.008926             Derecha   1655.0             428.0      629.0               203.0
     federico 0.008920    Derecha moderada     23.0             364.0       34.0                27.0
   alquileres 0.008854           Izquierda    189.0              29.0      400.0                59.0
    acompañan 0.008827           Izquierda     47.0             135.0      345.0               147.0
         sino 0.008825             Derecha   3174.0            2467.0     2972.0              1942.0
       españa 0.008769    Derecha moderada   8619.0            8988.0     7304.0              7314.0
       precio 0.008761             Derecha   1869.0             540.0      588.0               300.0
   movimiento 0.008739           Izquierda    302.0             268.0      871.0               231.0
         cómo 0.008598             Derecha   4900.0            3919.0     4693.0              3338.0
        parte 0.008556           Izquierda   4204.0            3597.0     4426.0              3150.0
       crisis 0.008546           Izquierda    631.0             635.0     1504.0              1083.0
         royo 0.008543           Izquierda      0.0               0.0      120.0                 0.0
       debate 0.008534           Izquierda    789.0             667.0     1500.0               839.0
      ejemplo 0.008531             Derecha   3371.0            2174.0     2645.0              1945.0
   izquierdas 0.008522           Izquierda    331.0             107.0      557.0               142.0
        clave 0.008460           Izquierda    321.0             493.0      910.0               355.0
      primera 0.008375           Izquierda   1589.0            2279.0     2570.0              2296.0
